==8245== NVPROF is profiling process 8245, command: python3 deploy3.py
==8245== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==8245== Profiling application: python3 deploy3.py
==8245== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
14.1097s  205.42us              (2 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [513]
14.1099s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1103s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1106s  20.053us              (1 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1) [528]
14.1110s  79.271us              (2 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [529]
14.1112s  77.240us              (2 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [530]
14.1124s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1127s  17.500us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [536]
14.1131s  6.8750us                    -               -         -         -         -        1B  142.04KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.1164s  18.385us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [543]
14.1171s  2.2910us                    -               -         -         -         -        1B  426.26KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1174s  14.688us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [549]
14.1177s  5.0520us                    -               -         -         -         -        1B  193.30KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.1399s  8.8450ms              (2 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [557]
14.1488s  4.0620us                    -               -         -         -         -        4B  961.66KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1491s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1494s  17.552us              (1 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1) [674]
14.1557s  3.8438ms              (2 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [676]
14.1664s  3.8567ms              (2 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [678]
14.1703s  4.0620us                    -               -         -         -         -        1B  240.41KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1706s  16.302us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [715]
14.1712s  7.0310us                    -               -         -         -         -        1B  138.89KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.1744s  17.083us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [722]
14.1754s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1756s  14.844us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [728]
14.1760s  6.3540us                    -               -         -         -         -        1B  153.69KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.1935s  120.37us              (2 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [735]
14.1938s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1940s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1943s  15.677us              (1 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1) [746]
14.1946s  37.761us              (2 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [747]
14.1949s  38.541us              (2 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [748]
14.1958s  2.2910us                    -               -         -         -         -        1B  426.26KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.1961s  14.791us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [754]
14.1965s  6.8230us                    -               -         -         -         -        1B  143.13KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.1996s  17.500us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [761]
14.2004s  2.2910us                    -               -         -         -         -        1B  426.26KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.2006s  14.843us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [767]
14.2009s  6.9270us                    -               -         -         -         -        1B  140.98KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.2287s  15.625us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [774]
14.2296s  2.2910us                    -               -         -         -         -        1B  426.26KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.2300s  14.948us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [780]
14.2304s  5.2600us                    -               -         -         -         -        1B  185.66KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.2348s  15.625us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [787]
14.2354s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.2358s  14.688us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [793]
14.2361s  5.1560us                    -               -         -         -         -        1B  189.40KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.2615s  15.677us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [800]
14.2621s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.2624s  14.583us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [806]
14.2627s  5.2090us                    -               -         -         -         -        1B  187.48KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
